Email,Password,Display name,Section
"demo.seed.teacher@secondteacher.dev","DemoSeed2026!","Seed Demo Teacher","teacher"
"demo.seed.s001@secondteacher.dev","DemoSeed2026!","Seed Student 001","Period A (SEED)"
"demo.seed.s002@secondteacher.dev","DemoSeed2026!","Seed Student 002","Period A (SEED)"
"demo.seed.s003@secondteacher.dev","DemoSeed2026!","Seed Student 003","Period A (SEED)"
"demo.seed.s004@secondteacher.dev","DemoSeed2026!","Seed Student 004","Period A (SEED)"
"demo.seed.s005@secondteacher.dev","DemoSeed2026!","Seed Student 005","Period A (SEED)"
"demo.seed.s006@secondteacher.dev","DemoSeed2026!","Seed Student 006","Period A (SEED)"
"demo.seed.s007@secondteacher.dev","DemoSeed2026!","Seed Student 007","Period A (SEED)"
"demo.seed.s008@secondteacher.dev","DemoSeed2026!","Seed Student 008","Period A (SEED)"
"demo.seed.s009@secondteacher.dev","DemoSeed2026!","Seed Student 009","Period A (SEED)"
"demo.seed.s010@secondteacher.dev","DemoSeed2026!","Seed Student 010","Period A (SEED)"
"demo.seed.s011@secondteacher.dev","DemoSeed2026!","Seed Student 011","Period A (SEED)"
"demo.seed.s012@secondteacher.dev","DemoSeed2026!","Seed Student 012","Period A (SEED)"
"demo.seed.s013@secondteacher.dev","DemoSeed2026!","Seed Student 013","Period A (SEED)"
"demo.seed.s014@secondteacher.dev","DemoSeed2026!","Seed Student 014","Period A (SEED)"
"demo.seed.s015@secondteacher.dev","DemoSeed2026!","Seed Student 015","Period A (SEED)"
"demo.seed.s016@secondteacher.dev","DemoSeed2026!","Seed Student 016","Period A (SEED)"
"demo.seed.s017@secondteacher.dev","DemoSeed2026!","Seed Student 017","Period A (SEED)"
"demo.seed.s018@secondteacher.dev","DemoSeed2026!","Seed Student 018","Period A (SEED)"
"demo.seed.s019@secondteacher.dev","DemoSeed2026!","Seed Student 019","Period A (SEED)"
"demo.seed.s020@secondteacher.dev","DemoSeed2026!","Seed Student 020","Period A (SEED)"
"demo.seed.s021@secondteacher.dev","DemoSeed2026!","Seed Student 021","Period A (SEED)"
"demo.seed.s022@secondteacher.dev","DemoSeed2026!","Seed Student 022","Period A (SEED)"
"demo.seed.s023@secondteacher.dev","DemoSeed2026!","Seed Student 023","Period A (SEED)"
"demo.seed.s024@secondteacher.dev","DemoSeed2026!","Seed Student 024","Period A (SEED)"
"demo.seed.s025@secondteacher.dev","DemoSeed2026!","Seed Student 025","Period A (SEED)"
"demo.seed.s026@secondteacher.dev","DemoSeed2026!","Seed Student 026","Period A (SEED)"
"demo.seed.s027@secondteacher.dev","DemoSeed2026!","Seed Student 027","Period A (SEED)"
"demo.seed.s028@secondteacher.dev","DemoSeed2026!","Seed Student 028","Period A (SEED)"
"demo.seed.s029@secondteacher.dev","DemoSeed2026!","Seed Student 029","Period A (SEED)"
"demo.seed.s030@secondteacher.dev","DemoSeed2026!","Seed Student 030","Period A (SEED)"
"demo.seed.s031@secondteacher.dev","DemoSeed2026!","Seed Student 031","Period B (SEED)"
"demo.seed.s032@secondteacher.dev","DemoSeed2026!","Seed Student 032","Period B (SEED)"
"demo.seed.s033@secondteacher.dev","DemoSeed2026!","Seed Student 033","Period B (SEED)"
"demo.seed.s034@secondteacher.dev","DemoSeed2026!","Seed Student 034","Period B (SEED)"
"demo.seed.s035@secondteacher.dev","DemoSeed2026!","Seed Student 035","Period B (SEED)"
"demo.seed.s036@secondteacher.dev","DemoSeed2026!","Seed Student 036","Period B (SEED)"
"demo.seed.s037@secondteacher.dev","DemoSeed2026!","Seed Student 037","Period B (SEED)"
"demo.seed.s038@secondteacher.dev","DemoSeed2026!","Seed Student 038","Period B (SEED)"
"demo.seed.s039@secondteacher.dev","DemoSeed2026!","Seed Student 039","Period B (SEED)"
"demo.seed.s040@secondteacher.dev","DemoSeed2026!","Seed Student 040","Period B (SEED)"
"demo.seed.s041@secondteacher.dev","DemoSeed2026!","Seed Student 041","Period B (SEED)"
"demo.seed.s042@secondteacher.dev","DemoSeed2026!","Seed Student 042","Period B (SEED)"
"demo.seed.s043@secondteacher.dev","DemoSeed2026!","Seed Student 043","Period B (SEED)"
"demo.seed.s044@secondteacher.dev","DemoSeed2026!","Seed Student 044","Period B (SEED)"
"demo.seed.s045@secondteacher.dev","DemoSeed2026!","Seed Student 045","Period B (SEED)"
"demo.seed.s046@secondteacher.dev","DemoSeed2026!","Seed Student 046","Period B (SEED)"
"demo.seed.s047@secondteacher.dev","DemoSeed2026!","Seed Student 047","Period B (SEED)"
"demo.seed.s048@secondteacher.dev","DemoSeed2026!","Seed Student 048","Period B (SEED)"
"demo.seed.s049@secondteacher.dev","DemoSeed2026!","Seed Student 049","Period B (SEED)"
"demo.seed.s050@secondteacher.dev","DemoSeed2026!","Seed Student 050","Period B (SEED)"
"demo.seed.s051@secondteacher.dev","DemoSeed2026!","Seed Student 051","Period B (SEED)"
"demo.seed.s052@secondteacher.dev","DemoSeed2026!","Seed Student 052","Period B (SEED)"
"demo.seed.s053@secondteacher.dev","DemoSeed2026!","Seed Student 053","Period B (SEED)"
"demo.seed.s054@secondteacher.dev","DemoSeed2026!","Seed Student 054","Period B (SEED)"
"demo.seed.s055@secondteacher.dev","DemoSeed2026!","Seed Student 055","Period B (SEED)"
"demo.seed.s056@secondteacher.dev","DemoSeed2026!","Seed Student 056","Period B (SEED)"
"demo.seed.s057@secondteacher.dev","DemoSeed2026!","Seed Student 057","Period B (SEED)"
"demo.seed.s058@secondteacher.dev","DemoSeed2026!","Seed Student 058","Period B (SEED)"
"demo.seed.s059@secondteacher.dev","DemoSeed2026!","Seed Student 059","Period B (SEED)"
"demo.seed.s060@secondteacher.dev","DemoSeed2026!","Seed Student 060","Period B (SEED)"
"demo.seed.s061@secondteacher.dev","DemoSeed2026!","Seed Student 061","Period C (SEED)"
"demo.seed.s062@secondteacher.dev","DemoSeed2026!","Seed Student 062","Period C (SEED)"
"demo.seed.s063@secondteacher.dev","DemoSeed2026!","Seed Student 063","Period C (SEED)"
"demo.seed.s064@secondteacher.dev","DemoSeed2026!","Seed Student 064","Period C (SEED)"
"demo.seed.s065@secondteacher.dev","DemoSeed2026!","Seed Student 065","Period C (SEED)"
"demo.seed.s066@secondteacher.dev","DemoSeed2026!","Seed Student 066","Period C (SEED)"
"demo.seed.s067@secondteacher.dev","DemoSeed2026!","Seed Student 067","Period C (SEED)"
"demo.seed.s068@secondteacher.dev","DemoSeed2026!","Seed Student 068","Period C (SEED)"
"demo.seed.s069@secondteacher.dev","DemoSeed2026!","Seed Student 069","Period C (SEED)"
"demo.seed.s070@secondteacher.dev","DemoSeed2026!","Seed Student 070","Period C (SEED)"
"demo.seed.s071@secondteacher.dev","DemoSeed2026!","Seed Student 071","Period C (SEED)"
"demo.seed.s072@secondteacher.dev","DemoSeed2026!","Seed Student 072","Period C (SEED)"
"demo.seed.s073@secondteacher.dev","DemoSeed2026!","Seed Student 073","Period C (SEED)"
"demo.seed.s074@secondteacher.dev","DemoSeed2026!","Seed Student 074","Period C (SEED)"
"demo.seed.s075@secondteacher.dev","DemoSeed2026!","Seed Student 075","Period C (SEED)"
"demo.seed.s076@secondteacher.dev","DemoSeed2026!","Seed Student 076","Period C (SEED)"
"demo.seed.s077@secondteacher.dev","DemoSeed2026!","Seed Student 077","Period C (SEED)"
"demo.seed.s078@secondteacher.dev","DemoSeed2026!","Seed Student 078","Period C (SEED)"
"demo.seed.s079@secondteacher.dev","DemoSeed2026!","Seed Student 079","Period C (SEED)"
"demo.seed.s080@secondteacher.dev","DemoSeed2026!","Seed Student 080","Period C (SEED)"
"demo.seed.s081@secondteacher.dev","DemoSeed2026!","Seed Student 081","Period C (SEED)"
"demo.seed.s082@secondteacher.dev","DemoSeed2026!","Seed Student 082","Period C (SEED)"
"demo.seed.s083@secondteacher.dev","DemoSeed2026!","Seed Student 083","Period C (SEED)"
